morpheme,type,mode,sameSubject,posneg,tense,dialect,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
lunga,tv,part,oui,pos,prespas,North Baffin,nsp,1,s,,,,i(l),,&unga &unga,a n,,&unga,n,,&unga,n,,,M1 H2
lutit,tv,part,oui,pos,prespas,North Baffin,nsp,2,s,,,,i(l),,&utit &utit,a n,,&utit,n,,&utit,n,,,M1 H2
luni,tv,part,oui,pos,prespas,North Baffin,nsp,3,s,,,,i(l),,&uni &uni,a n,,&uni,n,,&uni,n,,,M1 H2
lunuk,tv,part,oui,pos,prespas,North Baffin,nsp,1,d,,,,i(l),,&unuk &unuk,a n,,&unuk,n,,&unuk,n,,,M1 H2
lusik,tv,part,oui,pos,prespas,North Baffin,nsp,2,d,,,,i(l),,&usik &usik,a n,,&usik,n,,&usik,n,,,M1 H2
lutik,tv,part,oui,pos,prespas,North Baffin,nsp,3,d,,,,i(l),,&utik &utik,a n,,&utik,n,,&utik,n,,,M1 H2
luta,tv,part,oui,pos,prespas,North Baffin,nsp,1,p,,,,i(l),,&uta &uta,a n,,&uta,n,,&uta,n,,,M1 H2
lusi,tv,part,oui,pos,prespas,North Baffin,nsp,2,p,,,,i(l),,&usi &usi,a n,,&usi,n,,&usi,n,,,M1 H2
lutik,tv,part,oui,pos,prespas,North Baffin,nsp,3,p,,,,i(l),,&utik &utik,a n,,&utik,n,,&utik,n,,,M1 H2
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,1,s,,,,n,,,son,,,son,,,son,,,M1 H2
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,2,s,,,,n,,,son,,,son,,,son,,,M1 H2
luni,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,3,s,,,,n,,,son,,,son,,,son,,,M1 H2
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,1,d,,,,n,,,son,,,son,,,son,,,M1 H2
lusik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,2,d,,,,n,,,son,,,son,,,son,,,M1 H2
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,3,d,,,,n,,,son,,,son,,,son,,,M1 H2
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,1,p,,,,n,,,son,,,son,,,son,,,M1 H2
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,2,p,,,,n,,,son,,,son,,,son,,,M1 H2
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",nsp,3,p,,,,n,,,son,,,son,,,son,,,M1 H2
tillunga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",nsp,1,s,,,,n,,,s n,,,n,,,n,,,M1 H2
tillutit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",nsp,2,s,,,,n,,,s n,,,n,,,n,,,M1 H2
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",nsp,3,s,,,,n,,,s n,,,n,,,n,,,M1 H2
tillunuk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",nsp,1,d,,,,n,,,s n,,,n,,,n,,,M1 H2
